hopeful-surf-142,gallant-river-141,dauntless-voice-140,robust-hill-139,devout-breeze-136,peach-shadow-134,neat-firefly-130,kind-sound-128,glowing-monkey-126,misty-moon-124
80,0,87,0,83,84,89,86,78,0
75,0,83,87,86,85,87,88,81,82
73,0,0,84,87,82,0,84,87,88
77,0,87,0,87,83,85,84,84,86
0,0,80,0,86,85,0,79,88,85
68,0,82,83,88,83,85,84,83,84
0,0,88,84,87,85,0,88,88,85
0,44,86,82,83,0,0,85,89,89
0,0,81,0,81,84,71,86,80,87
0,0,88,0,89,86,86,87,87,89
0,0,87,0,87,82,0,86,87,83
76,0,83,82,84,74,0,0,86,81
0,0,80,0,85,82,0,86,85,83
0,0,82,83,84,84,85,84,81,86
0,0,0,0,88,89,87,83,87,87
77,0,0,83,80,86,0,0,87,90
0,0,86,0,85,81,82,83,82,85
82,0,82,82,83,85,0,79,85,90
0,9,85,82,89,84,77,88,85,88
0,0,82,85,86,81,82,76,81,85
0,0,80,0,85,87,0,86,86,88
0,0,86,91,89,91,87,84,81,88
65,0,82,85,87,83,82,81,80,83
0,0,87,0,87,88,0,84,86,87
0,0,83,0,87,81,0,86,85,85
0,0,86,88,86,88,0,86,84,87
76,0,88,88,84,87,70,83,88,90
0,33,82,84,86,83,0,83,87,86
70,0,80,0,81,81,82,78,79,82
0,0,84,85,85,83,0,84,85,86
77,0,86,88,89,89,71,86,81,88
75,0,82,84,87,86,23,88,87,88
0,0,86,0,87,84,28,85,87,88
0,0,85,0,85,86,0,86,85,87
76,0,82,87,82,82,85,83,79,85
0,31,87,83,89,87,89,86,87,88
75,0,78,86,79,82,84,85,84,80
0,0,86,0,89,83,0,87,86,88
0,0,87,0,89,89,0,89,87,89
0,0,82,83,89,86,74,88,86,87
76,0,86,87,82,83,85,86,85,84
63,0,84,81,82,79,88,86,80,82
74,0,82,83,86,82,85,87,86,85
0,0,89,0,86,87,87,89,89,85
74,0,84,87,85,90,84,87,84,86
0,0,85,0,80,80,0,0,79,0
87,0,88,87,86,83,87,86,87,87
0,0,82,84,84,84,0,0,86,87
0,0,83,0,87,85,0,82,85,0
0,0,85,0,84,84,0,82,80,86
77,0,86,86,86,88,89,89,86,87
0,0,0,84,83,87,0,81,86,87
0,0,86,84,85,85,0,89,87,84
0,0,0,0,0,89,0,0,87,86
0,0,0,82,81,87,85,83,84,88
0,0,85,79,82,86,84,85,0,86
79,0,85,84,84,85,87,84,83,83
0,0,84,87,87,84,0,83,83,84
0,0,82,79,80,82,81,0,83,83
0,0,83,0,85,84,0,89,89,84
0,0,0,0,78,0,0,0,0,0
0,0,87,84,85,84,91,87,81,88
71,0,86,86,86,84,0,0,86,87
0,0,83,88,87,87,88,84,86,87
0,0,85,0,83,84,0,86,87,84
0,0,86,81,85,84,0,85,85,86
78,0,0,86,84,84,84,85,77,84
72,0,87,84,85,87,90,90,83,86
77,0,84,83,86,85,79,85,81,83
67,0,86,87,82,0,0,83,79,89
57,0,0,0,89,85,64,0,88,0
0,0,89,0,82,85,74,90,79,85
77,0,82,87,86,86,86,84,84,84
0,0,82,85,87,83,0,81,89,90
76,0,86,79,87,85,83,83,85,80
0,0,85,75,79,85,0,89,84,82
0,0,87,0,85,85,0,86,90,0
83,0,83,80,85,88,84,85,84,88
72,0,87,80,86,83,19,85,77,84
