rogue-federation-81,light-rancor-80,carbonite-jawa-79,holographic-emperor-78,galactic-wookie-77,star-bantha-76,scruffy-looking-tie-fighter-74,star-destroyer-72,jedi-tauntaun-70,old-jawa-66
84,90,82,83,87,82,87,86,83,87
86,89,79,87,86,84,87,85,84,87
86,88,90,88,89,86,87,87,84,84
85,86,86,88,81,85,86,86,83,81
87,84,86,81,83,85,87,81,89,90
78,86,84,82,87,88,86,86,83,85
85,86,87,87,88,83,88,87,87,88
89,85,87,82,85,86,89,87,84,83
83,85,87,83,86,85,88,84,87,85
88,86,89,83,88,79,85,85,88,87
85,82,88,85,87,87,88,88,82,85
79,83,86,84,81,87,90,87,84,84
85,88,88,87,86,85,82,87,85,84
90,83,85,87,90,85,83,85,88,89
83,87,90,85,85,83,85,89,90,90
87,86,88,83,86,87,87,86,84,89
86,87,84,87,85,83,85,90,89,86
85,88,89,85,83,87,90,86,85,86
88,86,87,81,84,86,85,90,82,88
82,84,85,84,87,84,82,84,82,88
84,81,88,88,83,86,89,87,88,87
85,84,82,85,86,87,90,87,88,90
87,87,85,82,87,86,84,88,80,86
84,86,86,87,87,86,85,86,86,88
85,77,86,84,84,88,85,88,83,87
88,87,90,86,81,84,88,85,85,89
88,88,86,76,84,87,87,82,87,91
86,89,87,84,84,89,82,86,89,90
87,83,89,87,84,87,88,86,84,86
82,87,85,87,85,80,86,86,88,91
86,86,83,88,82,87,87,83,82,84
87,82,86,88,86,85,86,86,84,86
88,86,86,86,82,90,82,89,86,87
88,85,88,86,87,86,88,86,80,86
86,91,85,80,87,83,82,86,87,88
86,84,87,86,87,90,86,87,84,87
83,80,86,88,83,87,88,83,89,87
83,86,84,86,89,87,84,87,83,88
90,83,81,81,88,88,86,82,84,88
84,87,85,86,83,84,86,87,83,87
83,83,89,88,84,87,84,89,82,85
88,89,88,87,85,84,86,88,84,81
88,87,90,86,90,86,83,80,88,89
87,85,84,87,88,87,91,84,81,84
84,85,89,85,88,85,89,87,83,86
82,82,88,88,86,87,83,83,84,86
81,86,84,83,86,86,83,87,85,87
88,85,82,83,83,84,88,87,86,84
86,91,87,82,85,87,86,85,85,87
84,83,90,87,83,83,88,85,86,86
81,89,85,84,87,83,89,83,87,89
88,88,84,88,87,85,90,83,86,86
86,88,82,86,84,85,87,89,85,86
84,90,85,84,89,80,87,87,86,89
86,84,85,89,84,85,83,88,86,91
82,87,84,82,86,79,88,86,87,84
86,84,90,88,84,82,86,88,87,86
86,83,85,84,83,88,86,85,82,85
86,83,85,88,82,85,87,83,82,88
85,86,86,86,88,84,88,82,86,86
88,88,85,85,87,86,85,89,85,86
86,86,87,82,87,85,87,84,83,88
89,87,84,85,82,86,85,85,87,87
85,88,89,83,88,91,88,90,84,87
86,80,86,87,88,86,85,83,88,87
85,88,86,83,86,83,84,82,88,87
80,88,85,86,83,89,83,81,85,88
84,80,89,83,84,84,82,87,85,88
87,80,88,90,88,87,87,87,87,85
86,87,84,86,85,87,83,87,87,85
86,83,87,78,88,85,87,89,87,88
86,87,87,86,79,84,86,83,81,89
88,86,81,86,81,87,86,86,87,88
90,83,88,87,90,84,90,88,83,85
88,78,89,89,87,89,86,81,82,87
88,83,88,85,83,86,84,87,85,88
83,85,83,86,83,86,83,89,83,85
82,87,86,85,88,85,88,87,87,86
87,87,86,88,81,92,80,86,82,84
88,83,85,83,78,84,88,88,74,85
87,87,86,86,89,84,83,87,85,86
88,87,87,87,85,86,88,87,83,85
87,86,85,86,79,87,87,88,88,84
84,89,89,83,88,85,86,84,84,83
89,89,85,80,87,83,82,84,85,86
87,85,89,88,84,86,87,86,85,87
88,88,88,88,84,85,89,90,87,84
82,86,89,86,86,86,88,86,84,86
78,87,84,80,84,86,88,83,85,85
77,82,86,85,86,87,81,85,87,85
87,90,87,86,86,87,77,90,85,84
89,87,84,88,85,85,82,89,85,88
88,87,84,84,84,88,86,84,89,87
84,82,83,86,88,86,88,85,83,89
88,88,89,90,87,88,87,88,85,85
85,84,88,88,85,87,90,84,79,85
88,85,89,88,88,89,86,84,81,85
90,89,89,89,84,88,90,85,80,87
86,88,83,85,88,87,88,86,86,87
87,80,89,84,86,86,88,81,84,87
84,86,83,86,86,86,88,88,81,86
83,87,89,88,82,87,84,86,85,88
88,84,80,84,83,89,87,86,87,87
82,86,86,87,84,83,88,83,76,87
86,89,90,86,85,83,89,86,79,84
83,86,87,83,84,80,86,88,82,85
82,87,87,86,86,86,87,85,86,83
84,81,86,84,83,86,85,86,85,89
86,88,90,85,86,88,85,87,80,81
85,87,84,87,89,83,86,87,84,89
85,85,83,87,87,86,88,84,86,87
86,87,86,88,87,82,89,88,87,88
88,87,88,84,81,84,89,84,85,86
84,85,89,87,85,89,88,87,85,90
88,88,82,85,81,87,85,88,85,87
91,86,88,86,89,89,88,83,87,87
84,89,83,81,87,86,79,89,86,88
83,88,85,87,86,88,84,90,85,88
85,85,88,85,83,81,83,87,85,87
80,85,85,84,84,90,86,86,84,81
83,87,86,79,86,89,86,90,87,86
86,91,77,87,89,88,85,87,82,90
86,87,88,86,88,86,86,84,82,84
87,88,89,82,87,80,85,81,85,82
81,89,88,90,81,86,87,89,82,90
86,86,87,83,87,84,88,86,81,85
89,83,85,85,87,83,89,85,87,86
83,88,82,85,84,80,85,88,84,86
