revived-donkey-71,dandy-paper-70,sleek-music-69,fresh-smoke-68,blooming-blaze-67,legendary-voice-66,neat-galaxy-65,copper-forest-64,good-jazz-63,leafy-flower-62
25,12,12,20,14,18,22,35,6,13
11,8,16,14,9,21,17,26,2,15
21,8,16,15,8,16,22,32,1,15
18,10,14,17,15,21,24,22,6,23
22,14,19,19,10,23,27,13,0,10
21,7,13,20,13,26,30,23,3,17
15,5,18,13,12,27,20,26,0,22
12,8,10,18,17,39,14,21,10,26
25,5,14,18,10,19,19,23,3,17
16,5,10,19,12,13,27,13,0,17
19,6,16,19,21,10,14,15,0,20
16,11,16,15,10,19,10,20,0,21
13,8,19,21,19,19,20,15,3,12
23,11,8,21,17,25,16,21,0,22
18,5,25,18,14,22,20,21,4,24
16,5,21,13,14,20,31,20,2,16
23,10,15,9,13,25,18,25,0,10
20,8,19,22,22,20,17,23,1,18
27,5,12,19,13,33,18,17,0,16
20,3,26,24,13,23,13,10,2,19
30,4,20,14,16,16,15,12,2,16
13,2,23,17,24,12,13,19,7,22
17,8,28,24,18,15,17,19,1,16
17,10,23,18,21,14,24,24,1,17
37,8,14,12,16,16,10,17,5,28
25,8,6,19,18,19,27,9,0,9
19,11,27,18,12,15,10,11,7,18
15,16,19,15,13,14,22,12,6,25
28,6,21,18,9,24,7,12,8,12
12,19,17,15,19,11,16,11,3,26
14,24,14,13,17,24,11,9,9,26
14,5,16,20,21,12,16,17,11,22
14,6,13,15,18,21,10,11,2,17
19,6,9,19,21,27,21,7,9,24
14,8,13,13,21,26,12,18,2,19
15,8,33,21,15,18,28,12,6,8
35,6,7,16,15,19,14,10,12,29
22,8,15,16,21,13,13,2,1,14
24,11,12,12,21,23,20,6,8,12
21,8,16,19,23,18,17,26,1,25
21,10,8,21,22,20,18,15,5,20
29,8,14,19,26,12,11,13,8,24
9,16,21,18,17,19,28,20,6,28
12,8,15,13,22,15,16,18,2,11
28,13,3,11,12,12,15,17,2,21
40,2,11,13,19,19,19,15,9,15
18,11,24,8,27,18,12,9,0,20
24,9,24,17,23,20,14,12,6,26
14,5,10,19,30,23,14,7,10,22
17,12,11,14,16,20,18,10,15,19
18,5,19,10,20,13,21,16,4,19
19,10,12,12,19,17,17,9,10,25
18,13,8,12,15,14,20,4,9,20
13,21,18,13,14,24,18,7,0,17
21,10,13,18,23,23,17,4,2,19
16,8,12,12,19,20,12,8,0,19
26,8,22,16,24,14,17,11,5,19
20,15,9,18,15,18,29,9,5,13
8,2,12,11,20,24,12,9,17,20
20,16,14,11,15,11,18,11,11,26
29,10,13,12,15,20,20,9,10,27
15,15,18,11,19,16,14,14,14,24
9,9,23,16,13,29,26,10,5,30
21,13,19,9,24,9,18,6,10,25
23,8,7,19,10,20,13,12,3,30
23,13,5,14,22,13,12,5,8,26
7,16,6,12,16,18,9,4,11,26
29,16,12,16,11,15,20,9,14,30
27,20,14,18,20,12,20,8,2,20
33,7,16,16,17,13,21,6,1,33
13,8,21,11,18,13,12,10,7,16
24,11,30,18,12,13,7,6,3,22
12,7,9,12,24,19,12,13,8,21
17,5,17,12,15,20,19,14,9,22
14,10,14,15,16,15,13,13,13,36
17,8,16,20,16,16,27,17,4,29
20,12,8,16,21,23,28,18,2,21
19,6,18,13,19,15,18,11,14,21
19,13,10,11,17,19,33,19,2,24
21,17,25,13,18,15,22,13,11,27
23,11,13,11,18,33,21,10,11,15
7,6,15,15,13,38,22,7,4,17
22,13,12,21,18,20,17,7,6,15
29,8,7,14,19,24,28,17,7,23
16,23,7,14,17,27,21,13,6,19
15,12,7,14,14,37,14,17,4,17
20,4,23,15,20,20,18,15,12,17
17,11,5,13,11,19,15,13,13,14
14,20,8,11,19,20,19,13,2,27
10,19,9,14,25,26,11,16,12,13
16,15,15,10,15,11,17,10,6,16
24,4,7,15,4,19,14,14,6,9
29,15,20,15,14,17,18,12,7,16
20,7,16,21,20,14,17,18,16,9
19,17,7,19,18,31,27,18,8,22
10,14,22,13,18,20,25,14,9,25
17,8,25,13,25,18,9,12,6,22
26,11,21,17,13,31,12,14,12,18
20,7,4,20,18,17,20,16,10,7
15,4,34,18,12,23,22,9,3,31
16,23,26,18,25,14,9,10,4,29
30,19,26,12,26,25,28,14,3,24
21,6,35,20,24,21,22,17,9,31
23,1,12,20,13,13,23,9,4,18
27,9,30,18,14,24,22,9,6,34
14,8,6,18,8,26,27,19,15,21
19,13,22,9,14,28,20,23,10,25
26,12,26,17,27,18,30,13,8,18
22,10,36,15,23,33,11,8,4,15
11,13,34,25,9,43,30,11,13,17
17,16,24,14,17,36,28,15,4,24
13,10,12,19,17,18,18,10,1,10
10,11,34,18,15,21,31,24,8,14
14,15,22,15,22,37,35,18,5,8
20,12,23,17,20,19,21,17,11,10
12,8,26,15,9,18,21,12,3,17
33,4,26,14,9,16,12,6,7,18
13,13,33,16,13,21,20,5,14,2
25,12,23,19,6,18,20,4,8,32
24,13,19,12,4,34,14,13,2,23
22,18,25,16,8,26,18,14,13,16
23,4,16,19,17,41,16,19,7,21
12,12,20,18,29,43,21,10,7,15
16,13,29,19,14,31,21,10,5,23
29,14,26,14,16,30,24,12,7,17
15,9,16,20,3,41,22,13,7,24
12,17,24,22,30,32,25,14,11,14
20,13,23,20,19,29,29,16,6,15
5,19,18,16,13,20,15,13,10,23
10,11,29,9,7,28,28,14,4,14
16,2,35,18,21,39,23,10,8,22
11,8,39,20,7,18,19,14,5,22
9,16,27,21,24,44,20,14,7,15
22,10,25,16,15,26,27,11,7,14
15,13,37,18,34,36,20,22,3,12
20,11,22,13,32,32,28,14,2,30
16,13,29,13,16,56,19,10,7,19
24,14,28,19,21,34,29,18,5,17
8,4,9,18,19,16,8,16,4,20
26,19,25,11,23,50,22,19,5,14
8,14,28,15,35,28,23,8,4,10
12,32,21,15,16,39,25,8,8,13
14,7,21,17,25,30,18,13,7,17
18,12,23,15,14,20,16,15,2,15
20,8,19,13,22,24,24,18,7,21
19,13,22,17,10,29,19,8,15,37
23,16,26,19,17,47,24,13,11,26
12,13,17,16,28,24,14,9,2,21
20,10,27,18,19,29,32,22,2,19
12,16,20,20,28,31,34,11,9,20
19,4,21,17,16,27,21,19,14,23
20,18,24,21,15,35,30,15,7,13
12,12,29,15,25,45,39,23,6,14
19,11,27,9,27,26,26,7,9,19
32,15,36,26,13,36,34,17,10,18
12,5,20,14,12,27,3,7,7,18
20,7,29,15,17,43,29,12,2,12
21,12,24,16,20,17,22,13,7,22
23,27,22,20,19,39,37,2,4,28
14,7,27,16,18,41,25,15,2,25
18,10,30,26,14,23,18,4,14,21
27,18,30,21,26,30,24,14,2,25
24,8,31,17,13,29,22,16,4,16
26,17,41,18,19,27,22,17,2,29
