imperial-ewok-14,light-ewok-13,rebel-tie-fighter-12,holographic-transport-11,old-rancor-10,star-lightsaber-9,carbonite-destroyer-7,rogue-cruiser-6,scruffy-looking-fleet-4,stellar-fighter-1
69,51,89,91,91,90,57,93,88,93
68,63,82,89,91,89,61,90,86,90
69,46,84,90,90,88,70,88,88,90
70,57,83,92,88,85,68,91,88,90
70,43,89,91,93,94,73,92,93,93
71,45,86,93,89,85,67,90,87,90
69,43,85,89,89,89,73,88,89,91
71,37,84,89,89,91,63,82,92,91
64,42,83,89,90,87,68,90,87,88
69,46,85,89,89,88,81,93,87,89
69,48,87,91,94,94,87,91,90,94
65,39,88,89,93,87,68,88,91,88
89,46,86,92,93,91,87,93,88,91
65,34,83,90,91,91,86,90,94,91
67,38,88,90,91,90,88,90,92,91
63,33,85,88,88,81,88,87,88,87
91,37,91,95,92,92,92,92,92,95
91,37,89,92,92,93,90,89,92,90
75,37,89,89,89,87,88,88,89,90
92,37,91,90,89,91,94,93,92,93
90,38,89,91,93,88,87,90,91,92
88,45,89,90,90,89,89,85,88,89
89,45,93,93,94,90,95,92,90,92
89,54,91,84,93,89,90,92,90,90
93,52,89,92,93,91,87,85,94,93
89,53,89,84,85,91,88,88,90,91
84,44,81,91,92,90,88,91,91,90
91,56,91,95,95,90,93,92,95,92
94,57,91,89,92,90,89,92,90,90
83,53,83,80,79,84,77,85,84,85
91,75,83,92,90,91,92,91,91,86
85,69,91,92,92,93,83,91,90,89
92,64,93,92,88,90,80,93,92,93
93,88,89,93,93,95,88,93,91,94
93,79,88,91,92,92,91,92,92,94
89,84,90,92,91,89,78,90,89,90
89,64,88,89,89,90,83,88,87,88
90,84,88,88,82,91,78,89,89,90
93,88,92,92,92,90,85,91,94,93
89,93,91,95,94,93,91,93,93,90
87,90,85,59,88,81,83,90,93,83
92,89,91,94,93,91,88,92,90,89
84,82,87,58,88,87,86,81,88,86
87,86,85,58,92,87,88,89,88,89
93,93,92,94,90,90,91,94,92,93
94,93,93,91,89,92,90,90,95,88
86,86,89,56,85,89,92,93,87,88
94,92,95,90,94,94,92,93,94,94
91,95,90,91,92,95,89,96,95,93
91,91,93,61,93,92,91,94,95,96
93,91,92,54,90,95,91,88,88,88
95,92,90,54,94,93,93,91,94,94
91,87,89,47,90,93,90,93,87,90
91,92,91,44,89,90,82,91,90,88
86,88,86,40,91,88,92,91,87,85
92,86,86,41,89,89,90,89,89,83
89,90,89,36,91,94,92,93,94,90
93,94,90,35,92,90,91,92,92,93
94,92,93,36,94,90,91,94,92,94
93,90,88,35,89,89,83,91,91,91
94,96,87,36,96,93,82,95,92,96
93,93,94,35,95,91,81,89,95,88
93,92,87,47,95,89,80,89,95,91
94,90,88,33,93,91,79,92,88,93
85,85,85,32,90,89,70,88,90,90
91,94,90,31,92,89,68,90,93,91
93,90,89,31,89,96,73,92,95,93
93,90,88,32,92,93,68,94,95,92
91,87,87,31,90,90,65,91,85,91
95,93,94,34,96,87,70,95,91,90
91,87,90,31,92,94,69,91,92,87
93,95,90,36,94,96,63,92,94,96
88,86,89,34,90,88,67,93,89,92
87,86,91,43,90,93,68,94,95,94
86,86,90,34,87,90,57,88,90,84
87,91,93,34,90,90,57,91,89,90
92,92,88,56,94,96,67,95,91,94
92,89,89,87,94,93,64,94,91,91
87,90,86,67,90,90,57,87,85,87
89,93,86,69,93,94,63,91,89,92
91,92,92,67,88,92,55,92,91,94
91,88,92,64,88,90,61,93,92,87
87,90,90,57,91,91,55,91,88,90
89,89,91,66,88,89,60,84,91,89
92,91,86,61,89,93,60,93,90,90
90,86,91,80,93,89,64,90,89,92
89,89,87,64,87,89,54,88,90,88
86,88,87,62,91,87,54,91,92,84
92,87,89,76,94,88,60,90,93,94
92,85,90,80,94,94,60,91,91,94
93,92,90,73,92,90,62,93,90,90
92,92,89,76,92,91,63,90,92,94
85,89,92,85,92,90,67,93,91,94
87,91,86,62,88,85,57,83,87,87
84,85,88,58,90,84,53,83,88,86
83,90,77,60,86,85,61,86,86,87
95,90,95,73,94,94,65,94,93,89
95,92,93,69,89,90,66,90,89,91
93,88,93,63,95,87,62,93,94,91
94,92,86,58,93,93,63,91,91,93
91,86,94,63,92,89,72,91,91,93
87,88,88,60,89,89,67,91,86,86
94,93,91,64,93,93,75,93,94,91
92,85,90,63,92,92,76,92,90,90
90,95,91,63,96,95,76,92,91,91
88,87,91,51,89,90,73,89,92,90
97,94,92,52,95,97,72,90,95,91
93,92,92,57,91,89,75,89,89,94
93,92,93,55,91,91,79,93,89,92
86,89,90,55,90,93,77,89,89,90
83,89,90,56,92,88,79,88,88,89
94,93,89,55,89,92,74,93,89,93
91,93,87,53,89,92,82,91,87,92
92,92,91,55,89,91,76,92,80,88
93,94,90,59,89,95,81,93,84,95
93,92,90,55,93,89,78,93,82,90
91,88,83,56,88,89,86,90,76,88
90,91,91,56,90,87,81,92,80,88
87,88,86,57,87,81,82,83,76,85
87,91,87,56,94,91,78,91,75,94
91,90,89,55,94,92,85,93,77,83
90,90,84,45,85,88,83,88,58,90
92,91,84,60,89,85,76,89,63,86
91,93,96,69,90,94,64,92,71,94
92,89,92,60,91,92,84,90,72,92
90,93,89,55,94,94,83,89,68,94
86,90,91,60,87,86,78,86,54,90
92,94,92,62,93,93,80,88,63,92
92,92,93,58,90,91,82,93,68,91
92,89,90,67,90,92,82,87,58,90
93,95,93,62,91,92,85,94,70,90
87,92,92,66,89,92,70,93,62,89
93,92,89,62,93,87,87,92,61,94
92,85,89,76,92,88,73,92,69,92
90,92,90,70,89,89,79,90,49,92
93,95,92,92,96,93,82,96,77,92
81,91,86,65,90,87,71,91,64,87
87,83,80,60,89,90,68,85,67,83
91,95,94,68,93,90,82,88,62,91
92,89,90,67,89,91,79,88,67,91
88,91,91,68,91,91,82,91,68,91
92,91,91,81,93,89,81,89,66,93
92,91,92,94,94,90,87,92,91,90
92,91,88,67,90,88,80,88,66,92
94,92,93,88,92,91,85,93,87,92
96,91,91,96,92,93,93,86,68,91
86,86,84,70,87,87,83,85,65,84
91,94,92,90,94,95,87,91,69,92
90,89,92,67,88,88,89,91,67,89
93,92,92,93,93,92,95,92,91,88
93,91,91,89,91,93,95,92,93,94
92,92,89,93,93,95,92,90,93,92
91,90,90,88,91,92,87,93,89,94
93,88,91,67,86,91,90,88,65,94
93,92,89,70,86,95,90,93,91,93
92,92,91,65,93,90,91,91,91,92
90,91,87,64,90,88,89,88,82,89
91,94,91,88,93,90,93,91,91,91
93,94,91,86,93,94,94,91,92,94
93,92,90,87,91,94,88,93,94,91
92,92,90,88,90,87,91,89,86,85
92,92,92,88,86,91,92,90,89,87
91,89,93,89,93,86,88,92,88,90
88,87,89,86,79,84,88,87,90,88
88,89,84,66,89,89,90,84,86,86
96,91,91,91,91,96,92,95,95,95
89,88,88,84,93,86,89,91,94,89
91,90,91,86,89,91,87,93,85,91
91,92,92,91,94,92,93,91,90,91
93,94,93,88,93,93,94,94,92,90
92,88,91,87,93,93,92,91,93,82
88,86,89,90,91,88,88,90,89,94
82,93,88,90,86,90,90,90,93,91
92,95,94,89,91,94,93,92,93,91
83,87,85,84,91,90,91,93,91,87
86,89,86,85,91,83,85,85,90,88
88,93,89,86,92,89,90,89,91,90
83,84,88,88,90,90,92,92,93,84
87,93,92,89,93,94,92,94,92,94
91,91,88,91,93,90,93,90,91,92
75,91,93,88,92,92,94,92,93,94
85,91,94,90,89,92,90,93,92,94
