star-master-20,rebel-speeder-19,grievous-nerf-herder-18,stellar-cruiser-17,stellar-cruiser-16,stellar-jawa-15,light-nerf-herder-8,hokey-lightsaber-5,mythical-podracer-3,jedi-master-2
19,44,30,30,30,13,20,28,29,24
20,34,26,27,32,22,32,28,27,35
21,31,29,19,28,28,22,25,16,21
28,22,24,17,19,18,15,20,24,25
26,29,29,36,24,29,31,15,24,22
28,34,28,27,26,19,27,22,22,32
28,24,22,12,21,29,15,30,27,26
19,26,22,20,19,29,31,30,22,27
13,33,27,25,23,28,30,20,24,23
15,31,30,33,35,29,36,22,23,28
13,26,25,19,18,21,19,31,16,21
31,30,29,21,30,29,26,28,29,29
30,27,29,30,25,28,30,27,35,26
30,26,25,26,23,22,20,23,29,29
23,27,30,31,26,16,25,16,22,31
27,20,24,24,25,22,21,32,31,24
21,24,24,29,30,23,25,29,28,28
21,37,27,23,30,26,24,36,26,31
30,22,29,24,27,29,20,22,27,28
22,30,28,29,30,27,21,28,28,38
25,33,31,30,32,29,35,28,33,30
29,28,29,12,23,29,26,17,27,27
36,22,21,20,31,18,27,26,31,21
29,22,32,28,25,25,32,27,20,27
20,22,28,26,19,24,23,24,22,26
29,21,31,13,31,29,20,28,28,25
20,27,20,35,29,31,39,30,30,32
30,21,29,20,27,27,31,27,27,25
31,31,23,29,38,32,32,37,29,32
35,37,26,23,28,25,33,24,22,28
29,35,34,21,22,23,20,28,27,29
30,23,21,31,31,24,40,30,37,34
22,31,23,29,25,23,25,29,35,26
28,23,27,27,26,19,25,29,27,28
23,22,22,24,30,26,35,30,29,27
35,26,27,20,31,24,17,27,29,23
22,24,23,28,23,21,23,20,25,20
29,23,21,24,26,26,36,27,29,30
27,24,25,21,25,25,29,27,24,29
28,22,25,27,22,24,30,28,22,27
38,28,30,23,32,21,24,25,20,31
26,24,28,29,26,25,29,26,28,33
25,28,21,27,28,33,24,34,27,33
33,31,32,30,30,33,26,27,28,25
23,21,16,36,23,27,21,28,29,26
33,19,26,26,20,25,24,28,26,23
27,19,20,24,23,20,12,27,27,23
32,30,36,24,33,21,24,35,17,30
27,29,30,32,29,31,19,29,26,30
30,29,28,20,22,23,30,13,24,26
29,28,24,23,20,18,22,23,24,27
29,25,25,31,17,31,26,28,32,22
17,23,25,27,20,31,22,34,31,31
22,32,18,19,21,29,26,21,28,35
18,23,22,25,22,28,23,31,27,25
17,21,30,27,22,26,21,23,22,21
19,29,26,26,22,25,26,29,22,25
34,26,28,23,25,26,25,24,27,30
20,28,26,24,30,26,26,23,22,24
23,29,34,22,20,25,23,28,28,27
21,27,22,30,26,24,32,31,26,25
30,22,27,24,28,32,16,27,22,29
33,24,34,22,26,18,20,24,19,28
25,24,22,17,23,19,31,29,29,26
20,27,31,30,19,27,26,20,27,23
24,23,29,26,11,21,27,25,26,25
22,27,25,26,21,30,17,33,24,27
33,28,30,29,31,31,18,29,38,34
26,31,33,36,25,27,31,18,27,33
22,27,16,37,32,28,20,36,32,27
33,28,26,21,29,28,29,22,28,31
27,29,25,23,21,26,21,32,24,32
27,20,32,28,32,30,29,33,40,34
30,19,32,25,22,23,34,27,23,23
25,26,31,25,29,25,30,20,30,23
30,28,25,19,28,27,29,32,30,32
35,24,29,25,25,21,24,28,28,22
27,19,22,20,29,27,25,32,39,27
33,36,33,25,32,18,28,29,37,31
28,18,25,29,23,20,34,34,23,32
31,25,26,26,27,32,29,24,28,26
22,27,24,28,19,22,38,28,28,32
35,27,29,28,26,28,26,39,33,25
19,14,18,38,26,36,47,38,36,38
25,22,26,24,14,12,23,32,26,33
20,22,12,26,22,27,26,28,26,27
23,27,30,18,31,24,23,26,33,18
34,19,31,28,27,20,20,19,23,29
32,34,24,30,20,28,28,29,24,32
23,34,30,37,28,28,25,26,30,28
19,30,19,29,20,22,31,32,18,31
28,29,36,26,24,31,27,24,30,25
21,34,25,36,24,27,36,24,21,32
27,14,23,26,36,26,24,35,21,35
34,26,30,25,29,26,36,33,28,25
29,23,27,15,24,22,24,26,27,20
24,22,31,30,28,25,32,33,16,27
22,21,37,23,32,29,28,25,30,27
23,25,30,29,25,22,32,28,28,28
19,29,20,34,27,27,23,18,30,28
29,26,24,28,32,28,22,39,20,19
25,22,32,20,25,24,26,30,22,25
24,42,28,24,31,34,21,25,19,26
18,29,23,26,28,31,24,23,24,31
20,23,30,25,17,16,32,27,18,24
21,24,33,26,24,26,34,22,15,28
26,30,26,25,28,23,25,17,22,22
33,22,26,16,23,22,12,13,29,26
17,34,26,28,33,30,32,29,30,26
24,24,28,33,28,23,33,26,33,35
20,33,23,21,24,25,24,16,24,25
26,25,28,14,17,25,18,23,22,26
16,18,28,32,30,28,22,27,21,23
23,24,24,33,27,27,26,26,17,25
29,28,41,20,30,21,21,19,19,30
26,23,25,24,26,29,25,27,23,40
26,21,33,30,25,28,26,20,32,31
33,33,24,36,32,31,22,24,39,32
34,27,34,23,30,28,30,23,32,30
21,34,28,18,33,27,31,26,22,24
28,26,29,24,23,31,24,29,33,28
39,37,23,22,29,21,31,25,18,20
33,26,26,33,26,18,28,23,25,22
26,23,26,24,27,27,22,23,26,27
25,38,34,25,24,18,26,29,21,23
34,23,33,26,15,23,25,28,30,23
24,21,27,26,39,31,26,29,28,25
19,16,29,27,29,31,28,32,27,29
27,30,23,25,23,31,26,32,19,26
22,15,25,30,29,34,26,25,26,32
21,20,31,27,27,26,27,31,32,25
33,22,23,20,25,18,15,32,26,20
25,24,33,18,20,23,16,28,18,26
24,18,24,41,26,29,31,32,29,33
28,24,32,22,27,27,19,26,19,26
23,16,30,32,25,26,24,32,27,27
23,24,30,26,27,33,30,29,25,31
25,27,25,33,31,24,28,41,33,26
35,19,30,33,21,32,23,25,34,28
17,17,24,31,26,24,26,29,28,22
35,23,24,23,31,23,28,29,19,19
25,22,25,30,24,34,26,25,29,25
22,28,26,34,25,24,14,32,25,21
29,25,24,20,23,27,33,25,21,23
32,28,27,27,27,22,28,28,22,29
30,25,28,32,24,25,14,36,20,19
33,19,24,34,23,31,26,23,18,21
21,29,28,31,28,30,26,26,28,29
23,29,31,28,30,25,30,22,22,23
27,29,22,30,31,19,37,43,29,25
