fine-donkey-61,brisk-plant-60,laced-cosmos-59,radiant-glade-58,clear-dragon-57,stilted-vortex-56,driven-bird-55,blooming-valley-54,ancient-microwave-53,stellar-blaze-51
22,31,37,8,71,55,39,75,6,48
21,19,45,10,66,46,40,76,23,45
22,21,25,9,58,48,39,77,20,46
17,14,30,11,66,39,45,79,21,46
29,21,23,8,75,45,36,78,25,33
26,9,38,8,63,36,29,74,15,44
30,23,26,11,68,47,41,79,27,48
32,26,20,6,65,49,35,77,21,50
22,22,19,14,60,43,32,67,23,49
27,19,27,15,60,44,33,77,25,49
23,31,42,13,69,36,31,74,22,47
16,12,49,10,63,38,37,77,29,42
27,20,28,10,68,46,25,68,22,40
31,23,26,9,66,42,37,82,29,40
29,17,40,10,60,46,37,73,13,49
25,15,25,12,69,46,30,72,30,49
26,15,28,12,65,46,38,69,32,33
29,17,22,8,58,34,26,77,18,35
24,41,22,6,62,42,44,74,11,44
28,20,30,9,72,46,32,79,22,44
31,30,26,14,65,44,32,73,14,45
25,12,56,10,69,49,31,84,21,50
27,11,45,9,69,34,28,68,26,46
25,21,43,7,70,45,27,69,21,47
19,23,28,11,58,44,30,76,34,29
33,16,24,7,56,46,31,71,22,54
22,19,44,14,56,46,34,72,29,34
26,8,55,13,68,40,26,75,26,51
18,13,39,6,68,36,29,77,29,56
26,25,52,10,68,43,27,77,19,38
14,22,42,9,65,39,35,73,21,52
24,30,49,12,56,38,40,70,16,41
31,20,27,11,66,46,24,70,21,35
27,19,40,10,67,37,34,78,16,47
23,20,47,9,65,35,39,73,21,41
26,25,27,8,55,41,28,76,25,45
25,28,29,12,50,44,39,82,16,50
26,17,47,10,69,53,39,81,15,42
30,23,49,16,63,41,33,75,19,49
23,15,33,10,70,51,47,73,10,38
24,18,17,12,70,48,42,75,20,55
29,21,26,8,61,46,39,78,6,58
25,16,25,8,65,38,42,70,26,41
19,23,21,9,62,39,36,68,23,29
15,20,48,9,79,48,39,77,26,41
21,26,49,11,65,39,32,76,29,40
31,21,23,6,57,39,36,76,19,56
38,14,46,11,62,44,49,77,18,43
24,17,25,7,53,39,26,74,28,51
34,37,49,8,62,49,36,76,19,50
25,24,29,10,63,47,36,67,18,46
21,16,21,9,58,47,36,74,29,48
23,18,37,12,67,48,37,76,19,33
26,25,37,10,61,38,39,74,22,41
21,15,47,13,68,51,37,77,26,53
22,22,57,10,58,40,38,80,29,40
25,28,41,11,69,46,35,75,23,43
28,27,47,9,67,49,36,75,17,37
26,14,22,10,66,40,28,73,22,43
28,20,48,13,61,51,39,84,28,61
30,36,42,10,59,44,37,73,17,40
21,21,48,6,63,38,31,79,28,36
21,31,24,6,57,47,38,72,24,34
29,17,56,8,62,41,38,78,24,45
25,29,41,13,72,47,35,78,26,31
26,18,46,8,61,45,45,81,25,35
28,17,44,11,66,42,41,77,15,50
27,13,48,9,59,40,31,81,22,41
20,20,50,8,64,54,48,75,23,47
28,18,40,12,62,46,39,70,26,45
17,29,22,9,59,40,34,74,16,34
22,26,48,12,64,49,34,81,25,30
26,24,23,10,63,33,36,74,28,51
29,31,21,7,72,46,34,65,30,50
24,11,41,12,73,43,36,76,34,48
27,12,46,6,67,44,41,75,30,38
25,17,51,10,66,41,39,79,24,50
21,13,25,10,58,39,36,72,31,31
21,22,43,8,68,36,38,72,25,48
23,21,49,10,59,41,34,79,26,54
29,24,46,9,70,54,45,70,32,46
24,19,45,9,67,44,43,73,26,39
22,29,45,7,68,41,36,73,27,44
21,14,46,11,58,45,51,68,20,40
26,25,47,8,54,48,37,80,25,39
27,24,28,11,76,43,36,73,31,50
34,13,43,10,57,48,46,79,30,50
30,26,36,7,66,45,38,71,34,37
21,25,57,8,62,36,42,74,35,36
28,20,52,8,66,52,37,74,31,40
22,23,58,10,68,37,40,72,34,32
24,21,51,10,58,39,27,72,26,27
26,17,54,10,68,53,39,78,29,43
23,17,28,10,64,41,31,72,25,33
22,13,23,12,71,45,41,79,25,41
30,22,21,8,66,41,33,74,25,41
42,17,51,9,59,43,39,78,32,51
25,15,47,9,72,44,42,78,34,55
28,19,45,8,63,45,34,78,22,42
17,22,45,11,61,45,34,77,33,44
24,17,51,11,54,45,46,76,28,40
27,27,51,10,60,37,32,72,31,50
