floral-haze-96,vibrant-disco-94,denim-cherry-92,major-shadow-90,kind-bush-88,lively-terrain-86,apricot-grass-84,pleasant-donkey-82,chocolate-cosmos-80,proud-dust-78
27,25,21,7,28,4,7,3,47,29
30,25,20,8,22,4,0,-4,41,27
28,17,12,6,25,9,8,8,43,28
27,24,13,7,22,9,14,-3,42,26
21,26,21,0,25,2,-3,2,46,27
31,21,17,9,24,3,5,12,45,25
31,38,14,7,27,4,4,1,46,32
29,7,8,7,25,10,2,11,46,28
29,13,15,6,27,24,1,6,45,30
27,24,12,8,28,-2,4,5,43,29
34,8,20,-10,27,9,5,5,47,23
28,20,13,7,26,9,5,7,49,25
24,14,14,5,28,0,9,3,46,32
26,17,13,3,26,-1,7,6,49,32
30,24,20,4,26,0,0,8,44,24
30,25,10,0,29,4,4,-7,44,29
25,27,15,4,27,11,0,13,46,27
25,27,10,10,27,22,11,-6,44,27
32,35,8,8,27,3,6,15,44,27
30,27,14,5,27,4,0,4,47,26
29,28,19,4,28,5,12,9,46,28
27,28,14,8,28,9,-1,13,45,29
30,32,18,5,28,6,20,1,44,25
27,33,21,8,27,-13,3,8,48,31
27,35,31,9,25,15,17,11,47,26
31,19,11,8,27,5,2,8,41,26
29,32,15,9,26,11,16,-3,43,30
31,37,7,1,23,13,1,6,42,31
31,31,19,8,25,6,-3,10,46,24
27,28,15,10,24,13,11,11,45,28
30,36,10,3,25,13,11,7,46,23
30,24,16,10,32,-7,14,15,46,25
27,29,16,8,24,13,1,4,48,27
30,28,14,6,24,-16,13,11,45,26
29,30,28,4,26,18,18,4,42,24
26,28,28,7,21,12,1,2,45,25
28,31,23,0,23,0,6,14,45,27
24,29,14,10,30,0,8,8,46,27
25,26,24,9,25,-12,3,14,45,28
29,35,17,7,25,7,9,3,40,30
30,28,21,6,26,5,7,0,43,26
26,28,20,3,21,7,11,-1,45,28
31,29,20,2,28,-2,14,4,46,22
29,34,23,3,27,-1,12,2,41,26
29,29,15,7,28,18,7,11,47,21
29,31,12,5,28,20,10,5,45,25
29,33,27,7,25,0,3,10,42,22
30,31,21,9,31,11,21,12,42,23
30,30,22,6,26,-6,18,11,46,25
29,31,25,3,32,15,9,13,44,27
25,29,18,0,25,16,13,5,43,23
