lyric-plant-95,golden-cosmos-93,crisp-microwave-91,glamorous-oath-89,smart-water-87,curious-universe-85,zany-leaf-83,sandy-surf-81,vocal-paper-79,azure-rain-77
45,26,47,46,37,7,49,29,40,49
41,30,42,45,34,6,43,30,46,47
46,8,40,49,37,6,47,45,42,41
45,14,49,50,34,7,46,38,47,48
42,25,44,49,40,3,48,37,45,49
43,9,47,49,38,6,48,32,45,49
44,13,47,47,40,6,45,28,44,48
45,15,45,49,41,10,46,42,49,45
50,27,44,49,38,3,46,40,47,46
45,10,44,45,34,4,49,36,40,48
45,17,42,47,37,7,45,27,46,50
42,28,45,47,34,6,44,31,46,47
43,22,44,49,44,7,47,37,46,48
46,11,41,47,39,4,47,28,41,48
45,22,46,47,39,5,50,39,44,47
46,15,44,47,37,8,46,39,43,47
48,23,45,46,35,6,47,30,50,46
45,18,46,47,35,8,47,40,44,46
47,24,40,43,42,7,49,37,41,47
45,25,46,50,42,5,48,33,47,49
47,5,41,46,36,3,48,35,42,49
46,8,41,49,38,10,46,34,44,47
45,9,46,49,26,6,46,42,46,48
45,19,43,50,32,7,40,33,46,47
44,24,42,48,38,4,46,41,46,47
47,13,45,48,37,5,47,32,43,46
41,27,43,44,30,8,49,36,42,45
43,3,41,50,36,7,47,32,46,47
48,11,42,47,41,7,45,31,41,46
43,4,42,48,36,6,47,39,44,48
48,10,45,47,42,4,48,43,43,49
48,17,46,49,38,5,48,24,47,48
46,20,45,46,40,8,43,38,43,47
43,20,45,48,29,3,46,35,49,47
47,12,45,47,36,-1,48,33,43,50
48,34,43,49,39,4,48,39,44,46
