elegant-lightsaber-40,ancient-nerf-herder-38,holographic-fighter-36,tusken-nerf-herder-26,mythical-bantha-24,light-emperor-22,hokey-transport-21,holographic-senate-18,holographic-tauntaun-17,old-nexu-15
29,15,44,41,4,40,19,43,47,39
25,12,42,43,3,39,24,40,40,38
15,16,48,36,14,44,12,36,31,38
8,21,40,32,14,43,27,43,40,40
18,7,32,27,15,38,25,45,45,39
14,31,29,37,12,38,18,44,42,34
23,33,42,44,12,35,33,38,37,37
32,25,39,21,9,37,34,38,30,18
30,31,42,32,31,30,23,38,37,42
23,31,39,37,18,45,14,43,38,44
33,6,45,42,32,44,30,41,35,49
30,22,44,44,39,43,27,43,28,24
14,10,37,37,7,36,33,38,40,44
37,18,45,47,27,23,23,40,38,43
11,24,41,36,6,45,29,46,34,44
16,30,36,35,22,34,26,42,39,29
36,33,40,44,2,43,31,42,40,30
28,30,41,43,7,38,25,39,32,38
20,30,43,36,6,44,29,40,30,23
17,47,43,37,4,32,27,40,33,34
15,38,39,35,14,27,23,38,41,39
20,7,46,36,28,43,34,42,41,38
30,32,42,34,15,36,20,43,34,36
4,15,42,42,30,42,31,44,27,23
19,23,39,42,13,38,32,44,38,44
24,14,44,48,19,42,20,47,27,37
30,21,43,40,25,46,30,39,28,25
25,41,37,42,21,32,36,42,38,47
26,27,42,36,9,30,40,42,39,26
30,23,49,32,34,36,34,41,37,26
25,33,41,42,19,33,23,44,36,27
16,37,41,46,23,37,29,46,37,41
3,21,33,43,18,31,24,33,36,46
25,12,42,37,9,35,20,33,38,36
29,31,45,43,25,41,38,30,36,41
8,27,45,32,25,36,37,45,41,32
30,24,38,45,27,42,39,45,42,44
19,23,42,38,21,37,22,41,41,39
19,12,38,41,11,40,33,43,36,45
18,30,40,10,21,34,36,45,27,32
29,35,41,37,23,24,19,31,37,13
12,31,41,34,15,44,39,38,44,36
33,33,41,39,32,37,36,40,34,44
25,23,45,32,28,37,33,42,30,43
38,33,47,43,13,37,25,46,44,32
10,15,44,34,27,40,36,42,26,44
21,17,42,43,13,34,39,42,29,39
28,29,45,47,31,36,36,42,42,44
23,34,42,45,40,38,28,44,33,44
36,42,45,25,21,42,33,45,33,36
25,27,44,42,10,32,34,45,22,40
38,23,34,37,41,35,22,42,35,35
28,19,38,41,3,36,32,41,34,29
26,29,38,35,33,37,42,42,22,39
18,22,43,35,42,33,18,42,41,34
44,22,44,30,9,44,35,43,42,28
28,16,45,42,14,35,39,43,37,47
40,35,31,32,6,41,31,35,46,32
33,25,29,35,29,42,30,43,36,38
32,22,42,28,12,42,35,44,41,29
23,31,42,45,18,45,42,36,35,41
43,29,38,40,36,40,28,42,25,38
33,14,40,36,27,39,44,43,19,40
33,19,40,28,31,43,32,39,23,42
15,26,35,37,27,45,31,44,35,47
26,39,41,46,14,30,34,40,35,28
22,19,46,35,42,43,31,34,48,7
25,20,43,42,20,37,28,42,32,15
25,20,45,29,10,33,22,28,16,20
34,25,31,41,34,41,40,40,38,36
35,23,40,44,24,37,38,44,46,20
31,20,43,26,31,39,39,37,39,43
26,33,47,35,44,25,42,34,36,42
30,23,46,43,14,38,47,43,28,16
44,28,41,46,30,46,32,39,44,23
31,29,34,25,21,43,38,41,44,40
34,30,42,47,22,44,32,34,34,29
16,23,42,30,30,46,39,47,14,31
26,31,41,48,0,28,42,47,33,39
45,29,40,38,28,32,26,41,37,40
33,24,35,48,17,43,35,26,36,40
43,33,43,48,22,47,25,38,29,24
25,31,40,29,22,41,35,47,34,31
26,27,29,43,36,37,33,42,35,16
36,19,41,41,20,40,40,39,35,19
12,29,42,40,19,42,23,38,36,27
23,33,39,39,29,44,37,41,41,37
23,23,47,43,29,34,39,40,45,38
34,22,43,35,17,40,36,28,34,31
19,23,37,39,39,33,43,40,33,28
32,16,36,37,2,41,32,36,41,30
24,27,39,23,39,40,31,43,28,46
36,23,42,41,17,43,34,48,32,30
36,40,47,40,28,42,28,35,34,9
41,41,43,35,18,39,34,40,35,46
18,37,43,43,24,39,32,25,47,44
30,37,46,45,21,32,33,46,44,25
37,29,44,37,24,19,28,37,30,16
25,26,39,46,17,41,41,37,43,28
23,35,34,40,15,39,34,38,36,18
34,18,42,43,20,45,28,36,31,29
19,28,45,34,28,17,31,43,36,42
15,27,46,43,26,40,38,28,24,19
33,40,41,36,26,25,41,31,47,39
35,10,39,32,8,33,37,36,40,17
18,30,41,36,29,41,38,21,38,24
36,25,46,43,35,46,29,38,48,40
26,16,46,44,39,48,24,41,39,39
31,21,44,47,43,46,38,41,36,35
26,22,41,37,31,26,28,46,25,31
38,37,42,45,11,45,19,38,31,21
35,23,46,42,42,34,34,36,37,27
20,26,44,46,29,40,42,45,46,27
30,11,40,37,19,41,26,44,47,34
44,25,45,28,22,39,36,40,34,37
36,28,43,40,22,37,17,45,39,14
30,39,42,43,40,39,33,39,27,46
33,30,45,46,22,35,34,38,32,14
37,18,44,40,35,44,30,43,42,22
22,31,42,33,39,32,36,41,43,36
32,25,40,44,24,47,30,39,41,36
29,36,42,47,16,41,26,43,41,34
42,21,48,37,30,46,40,47,43,32
44,23,43,44,29,47,33,35,33,33
39,39,44,32,18,39,43,42,24,24
37,36,43,46,13,14,20,31,35,18
44,35,42,36,43,44,41,45,38,29
42,24,45,40,32,26,35,49,34,28
22,22,42,40,38,33,32,42,34,31
16,29,45,37,30,34,28,41,31,41
27,11,41,46,37,36,31,39,37,27
30,29,45,27,42,25,26,45,42,38
24,35,48,28,35,20,46,26,37,18
43,25,46,42,37,48,35,28,27,27
45,24,43,46,24,40,34,38,29,43
17,38,47,24,40,26,32,41,33,23
30,31,43,30,32,25,26,15,32,39
32,33,45,44,31,38,44,45,34,21
33,12,46,35,16,21,23,21,37,24
23,19,42,48,37,12,41,17,24,35
32,20,40,30,21,43,31,22,39,31
38,44,45,38,36,43,36,8,38,39
39,48,45,46,27,35,19,34,32,12
46,29,44,31,39,17,21,27,19,9
29,31,48,45,29,33,34,36,33,39
10,31,46,32,25,35,41,33,33,27
25,26,48,35,42,43,40,33,26,39
26,25,45,35,37,32,38,18,31,15
