robust-violet-104,azure-hill-103,zesty-cosmos-102,ancient-fire-101,swift-paper-100,restful-hill-99,zesty-frog-98,noble-monkey-97,giddy-wind-96,rare-haze-95
9.280000000000003,3.000000000000001,0.0,0.0,0.0,8.320000000000004,1.3800000000000001,7.56,10.400000000000002,9.520000000000005
1.920000000000001,6.960000000000002,0.0,0.0,0.0,5.520000000000003,6.560000000000003,9.200000000000003,7.859999999999999,9.300000000000004
7.700000000000003,7.200000000000005,0.0,0.0,0.0,12.240000000000004,3.1199999999999983,11.700000000000008,9.660000000000004,15.600000000000014
1.880000000000001,6.200000000000002,2.0,0.0,0.0,8.100000000000001,2.32,1.5600000000000005,11.500000000000007,0.0
9.900000000000004,8.400000000000004,0.0,0.0,0.0,0.0,3.4799999999999995,1.8400000000000005,16.279999999999994,14.0
10.260000000000005,6.459999999999998,0.0,0.0,0.0,14.820000000000013,7.3800000000000034,3.8400000000000007,11.040000000000006,6.660000000000003
0.0,4.320000000000002,0.0,0.0,0.0,0.0,7.560000000000001,9.280000000000003,17.000000000000004,12.920000000000003
0.46000000000000013,9.120000000000005,0.0,0.0,0.0,9.24,5.000000000000001,10.920000000000002,15.000000000000002,14.960000000000003
12.540000000000004,6.800000000000004,0.0,0.0,0.0,10.080000000000005,4.16,4.8000000000000025,18.240000000000013,14.520000000000005
12.48,5.699999999999999,0.0,0.0,0.0,2.040000000000001,3.4399999999999995,5.940000000000002,8.82,8.840000000000005
9.520000000000005,9.860000000000003,0.0,0.0,0.0,0.0,1.8800000000000003,7.540000000000002,14.28,19.200000000000014
12.88000000000001,9.240000000000002,0.0,0.0,0.0,4.62,5.500000000000001,9.920000000000005,15.079999999999998,16.120000000000015
14.520000000000005,11.200000000000008,0.0,0.0,0.0,12.000000000000007,2.2800000000000002,11.880000000000008,10.880000000000004,14.260000000000012
11.0,6.840000000000002,0.0,0.0,0.0,11.020000000000003,3.499999999999999,0.6200000000000002,18.04,9.200000000000005
13.120000000000006,9.120000000000005,1.0,0.0,0.0,12.48,1.84,0.0,17.600000000000005,21.0
13.02000000000001,6.760000000000003,0.0,0.0,0.0,9.880000000000003,3.659999999999999,6.600000000000002,16.500000000000004,18.000000000000004
11.040000000000006,6.72,2.0,0.0,0.0,11.440000000000001,2.599999999999999,7.540000000000002,20.640000000000015,12.60000000000001
15.0,8.000000000000002,0.0,0.0,0.0,13.52,4.24,9.520000000000005,15.080000000000004,19.040000000000003
10.540000000000006,8.280000000000001,2.0,0.0,0.0,11.520000000000007,1.5000000000000002,12.500000000000002,16.200000000000014,15.36000000000001
11.040000000000006,6.400000000000002,2.0,0.0,0.0,11.520000000000007,2.5199999999999996,15.120000000000013,18.36000000000001,22.40000000000001
